Round 227: Acc: 0.75400	 Loss: 0.55842	 Msg_len: 20.000	 Edit_Dist: 20 
Round 228: Acc: 0.75200	 Loss: 0.56010	 Msg_len: 20.000	 Edit_Dist: 20 
Round 229: Acc: 0.75700	 Loss: 0.55489	 Msg_len: 20.000	 Edit_Dist: 20 
Round 230: Acc: 0.75500	 Loss: 0.55706	 Msg_len: 20.000	 Edit_Dist: 20 
Round 231: Acc: 0.75400	 Loss: 0.55803	 Msg_len: 20.000	 Edit_Dist: 20 
Round 232: Acc: 0.75500	 Loss: 0.55706	 Msg_len: 20.000	 Edit_Dist: 20 
Round 233: Acc: 0.75400	 Loss: 0.55808	 Msg_len: 20.000	 Edit_Dist: 20 
Round 234: Acc: 0.75200	 Loss: 0.56021	 Msg_len: 20.000	 Edit_Dist: 20 
Round 235: Acc: 0.75000	 Loss: 0.56262	 Msg_len: 20.000	 Edit_Dist: 20 
Round 236: Acc: 0.75300	 Loss: 0.55923	 Msg_len: 20.000	 Edit_Dist: 20 
Round 237: Acc: 0.75400	 Loss: 0.55840	 Msg_len: 20.000	 Edit_Dist: 20 
Round 238: Acc: 0.75200	 Loss: 0.56022	 Msg_len: 20.000	 Edit_Dist: 20 
Round 239: Acc: 0.75600	 Loss: 0.55583	 Msg_len: 20.000	 Edit_Dist: 20 
Round 240: Acc: 0.75300	 Loss: 0.55892	 Msg_len: 20.000	 Edit_Dist: 20 
Round 241: Acc: 0.75300	 Loss: 0.55915	 Msg_len: 20.000	 Edit_Dist: 20 
Round 242: Acc: 0.75000	 Loss: 0.56188	 Msg_len: 20.000	 Edit_Dist: 20 
Round 243: Acc: 0.74900	 Loss: 0.56410	 Msg_len: 20.000	 Edit_Dist: 20 
Round 244: Acc: 0.75700	 Loss: 0.55429	 Msg_len: 20.000	 Edit_Dist: 20 
Round 245: Acc: 0.75400	 Loss: 0.55816	 Msg_len: 20.000	 Edit_Dist: 20 
