Round 196: Acc: 0.95900	 Loss: 0.15380	 Msg_len: 13.161	 Edit_Dist: 8 
Round 197: Acc: 0.94400	 Loss: 0.16395	 Msg_len: 15.152	 Edit_Dist: 7 
Round 198: Acc: 0.96300	 Loss: 0.12377	 Msg_len: 5.676	 Edit_Dist: 9 
Round 199: Acc: 0.92100	 Loss: 0.19579	 Msg_len: 15.450	 Edit_Dist: 11 
Round 200: Acc: 0.95300	 Loss: 0.14254	 Msg_len: 4.251	 Edit_Dist: 16 
Round 201: Acc: 0.95400	 Loss: 0.14187	 Msg_len: 3.453	 Edit_Dist: 2 
Round 202: Acc: 0.94700	 Loss: 0.14317	 Msg_len: 10.737	 Edit_Dist: 7 
Round 203: Acc: 0.94600	 Loss: 0.14043	 Msg_len: 9.881	 Edit_Dist: 5 
Round 204: Acc: 0.93200	 Loss: 0.19179	 Msg_len: 6.230	 Edit_Dist: 5 
Round 205: Acc: 0.93700	 Loss: 0.16010	 Msg_len: 15.819	 Edit_Dist: 9 
Round 206: Acc: 0.94600	 Loss: 0.16765	 Msg_len: 9.376	 Edit_Dist: 8 
Round 207: Acc: 0.93400	 Loss: 0.20164	 Msg_len: 3.267	 Edit_Dist: 8 
Round 208: Acc: 0.91900	 Loss: 0.21352	 Msg_len: 13.188	 Edit_Dist: 12 
Round 209: Acc: 0.93400	 Loss: 0.18120	 Msg_len: 5.550	 Edit_Dist: 13 
Round 210: Acc: 0.93900	 Loss: 0.16871	 Msg_len: 11.811	 Edit_Dist: 9 
Round 211: Acc: 0.94000	 Loss: 0.18041	 Msg_len: 11.017	 Edit_Dist: 9 
Round 212: Acc: 0.94600	 Loss: 0.17363	 Msg_len: 9.074	 Edit_Dist: 12 
Round 213: Acc: 0.92000	 Loss: 0.21840	 Msg_len: 2.620	 Edit_Dist: 4 
Round 214: Acc: 0.92900	 Loss: 0.19058	 Msg_len: 6.506	 Edit_Dist: 5 
Round 215: Acc: 0.95400	 Loss: 0.14621	 Msg_len: 16.443	 Edit_Dist: 9 
Round 216: Acc: 0.94200	 Loss: 0.17100	 Msg_len: 6.852	 Edit_Dist: 8 
Round 217: Acc: 0.93400	 Loss: 0.15864	 Msg_len: 13.070	 Edit_Dist: 9 
Round 218: Acc: 0.92100	 Loss: 0.17572	 Msg_len: 18.356	 Edit_Dist: 10 
Round 219: Acc: 0.93800	 Loss: 0.16986	 Msg_len: 8.641	 Edit_Dist: 11 
Round 220: Acc: 0.95700	 Loss: 0.13837	 Msg_len: 5.671	 Edit_Dist: 3 
Round 221: Acc: 0.93200	 Loss: 0.18529	 Msg_len: 6.015	 Edit_Dist: 5 
Round 222: Acc: 0.94200	 Loss: 0.17307	 Msg_len: 4.061	 Edit_Dist: 6 
Round 223: Acc: 0.93900	 Loss: 0.17395	 Msg_len: 12.475	 Edit_Dist: 10 
Round 224: Acc: 0.93500	 Loss: 0.17658	 Msg_len: 4.847	 Edit_Dist: 9 
Round 225: Acc: 0.93300	 Loss: 0.18488	 Msg_len: 6.012	 Edit_Dist: 2 
Round 226: Acc: 0.95500	 Loss: 0.14573	 Msg_len: 6.136	 Edit_Dist: 7 
Round 227: Acc: 0.94500	 Loss: 0.16977	 Msg_len: 3.357	 Edit_Dist: 6 
